date,feedback,sentiment,urgency,category
2025-11-28,"Food was good, service could be faster.",neutral,low,Other
2025-11-28,உணவு அருமை! நன்றி!,positive,low,Food Quality
2025-11-28,අද සුපිරි අත්දැකීමක් ලැබුණා! ❤️,positive,low,Other
2025-11-28,Absolutely loved the food today!,positive,low,Food Quality
2025-11-28,Nothing special to mention.,neutral,low,Other
2025-11-28,Nothing special to mention.,neutral,low,Other
2025-11-28,ආහාර සුපිරියි! අතිශයින් සතුටුයි!,positive,low,Food Quality
2025-11-28,Nice experience overall.,positive,low,Other
2025-11-28,"Nothing special to mention.
",neutral,low,Other
2025-11-28,"Worst food I've had in a long time.
",negative,medium,Food Quality
2025-11-28,Not what I expected.,negative,low,Other
2025-11-28,නරකම අත්දැකීමක්.,negative,high,Other
2025-11-28,மிக மோசமான சேவை.,negative,high,Other
2025-11-28,සේවාව බොහෝම අයහපත්.,negative,medium,Other
2025-11-28,Terrible experience. Waste of money.,negative,high,Other
2025-11-28,Very disappointed with the service.,negative,medium,Other
2025-11-28,නැවතත් එන්නෙ නෑ.,negative,high,Other
2025-11-28,"Had a great time, thanks!",positive,low,Other
2025-11-28,Service was too slow.,negative,medium,Other
2025-11-28,yummy foods,positive,low,Food Quality
2025-11-28,I was completely impressed ur customer service,positive,low,Other
2025-11-28,Customer service nam hoda na.waitress la minissunta hariyata katha karanna danne na,negative,medium,Other
2025-11-28,The food was excellent but the waiting time was too long. I had to wait for 30 minutes for my order.,negative,medium,Other
2025-11-28,parking slots are not available in peak times,negative,medium,Other
2025-11-28,"woowww foods are amazing, impressive",positive,low,Food Quality
2025-11-28,Bad Quality food. You will not get what you see when ordering. Itâ€™s just a waste of money.,negative,high,Food Quality
2025-11-29,Very nice Foods,positive,low,Food Quality
